# The All Sky Automated Survey Data
# gp@astrouw.edu.pl
#
# ################   DESCRIPTION   ###############
# The ASAS Photometric Catalog is maintained separately for each
# observed field, so for some stars independent 'datasets' of
# measurements are available. Their mean magnitudes may slightly differ.
#
# In each 'dataset' (starting with #dataset=0,1,2,...):
# 'desig' is ASAS designation (they may differ (by 1) at the last
# digit of the RA & DEC fields)
# 'cra', 'cdec' are initial Catalog coordinates
# 'ndata' is number of points in each dataset
# 'cmag_*',  'cmer_*' are reference magnitude & dispersion for each aperture
# 'nskip_*' is number of data points skipped when calculating 'cmag' & 'cmer'
# 'ra', 'dec', 'mag', 'mer' are coordinates, magnitude and dispersion
# calculated directly from the data
#
# Each data row consists of the following fields:
# -  HJD-2450000
# -  magnitudes (one for each aperture)
# -  frame errors describing average photometric quality of the frame (for each aperture)
# -  frame number
# -  grade :
#    A - best data, no 29.999 (not measured) indication
#    B - mean data, no 29.999 (not measured) indication
#    C - A and B with 29.999 (not measured) indication
#    D - worst data, probably useless
#
# ######### LIGHT CURVE BEGINS NEXT LINE ###########
#ndata= 227
#dataset= 1 ; 1 F0700-64_043
#desig= 065307-5935.7
#cra=    6.885405  06:53:07.5
#cdec= -59.595626 -59:35:44.3
#class= 0
#cmag_0= 11.981
#cmer_0=  0.274
#nskip_0= 1
#cmag_1= 11.978
#cmer_1=  0.274
#nskip_1= 1
#cmag_2= 11.973
#cmer_2=  0.267
#nskip_2= 1
#cmag_3= 11.973
#cmer_3=  0.268
#nskip_3= 1
#cmag_4= 11.983
#cmer_4=  0.271
#nskip_4= 4
#ra=    6.885404  06:53:07.5
#dec= -59.595600 -59:35:44.2
#     HJD      MAG_1  MAG_0  MAG_2  MAG_3  MAG_4    MER_1 MER_0 MER_2 MER_3 MER_4 GRADE FRAME
   1914.66611 12.303 12.264 12.273 12.240 12.249    0.028 0.038 0.025 0.028 0.032  A 4782
   1915.66562 11.595 11.649 11.600 11.580 11.580    0.031 0.047 0.026 0.029 0.033  A 4940
   1919.65379 12.080 12.103 12.060 12.050 12.039    0.032 0.044 0.027 0.030 0.035  A 5310
   1920.65806 12.095 12.079 12.093 12.094 12.085    0.029 0.041 0.026 0.028 0.033  A 5472
   1921.65130 11.844 11.795 11.827 11.819 11.809    0.032 0.040 0.026 0.028 0.032  A 5628
   1922.65065 12.186 12.207 12.161 12.174 12.170    0.034 0.042 0.025 0.026 0.030  A 5779
   1923.64607 11.665 11.683 11.696 11.705 11.738    0.032 0.044 0.026 0.028 0.033  A 5942
   1924.64563 11.898 11.939 11.876 11.880 11.890    0.034 0.040 0.032 0.035 0.040  A 6111
   1925.65095 12.159 12.199 12.177 12.165 12.173    0.047 0.056 0.044 0.046 0.050  B 6282
   1926.64059 11.408 11.407 11.415 11.404 11.409    0.029 0.035 0.024 0.027 0.030  A 6448
   1928.65143 12.227 12.246 12.214 12.215 12.204    0.029 0.037 0.024 0.026 0.031  A 6777
   1929.64208 11.562 11.568 11.541 11.535 11.529    0.030 0.037 0.024 0.026 0.031  A 6928
   1930.64015 12.068 12.066 12.078 12.068 12.105    0.030 0.035 0.023 0.025 0.029  A 7094
   1931.63516 12.248 12.282 12.201 12.168 12.182    0.038 0.041 0.032 0.034 0.038  A 7261
   1933.63171 12.114 12.123 12.128 12.119 12.115    0.035 0.041 0.025 0.026 0.030  A 7589
   1934.62435 12.362 12.338 12.401 12.442 12.471    0.031 0.040 0.025 0.027 0.031  A 7749
   1936.60618 12.166 12.211 12.174 12.198 12.226    0.033 0.037 0.025 0.025 0.030  A 8012
   1938.60104 11.777 11.789 11.793 11.815 11.850    0.035 0.040 0.025 0.026 0.029  A 8250
   1940.60875 11.597 11.588 11.627 11.631 11.655    0.034 0.037 0.025 0.026 0.029  A 8498
   1945.59775 12.251 12.216 12.215 12.251 12.308    0.039 0.048 0.028 0.028 0.032  A 8668
   1946.61786 11.598 11.610 11.636 11.679 11.698    0.034 0.040 0.027 0.029 0.033  A 8793
   1948.56968 12.274 12.280 12.262 12.226 12.230    0.034 0.042 0.027 0.028 0.033  A 9027
   1950.56300 12.159 12.164 12.135 12.096 12.088    0.050 0.062 0.034 0.028 0.030  B 9333
   1953.58602 12.183 12.224 12.177 12.179 12.163    0.038 0.042 0.028 0.029 0.031  A 9649
   1958.57201 11.961 12.015 11.943 11.926 11.941    0.039 0.044 0.031 0.032 0.031  A 10174
   1961.55750 12.017 12.058 12.029 12.059 12.030    0.040 0.044 0.032 0.035 0.031  A 10444
   1963.55889 11.606 11.545 11.607 11.634 11.590    0.037 0.043 0.030 0.035 0.032  A 10778
   1965.54996 12.305 12.274 12.323 12.358 12.389    0.038 0.041 0.028 0.031 0.030  A 11139
   1967.54470 12.153 12.142 12.201 12.211 12.214    0.038 0.044 0.031 0.035 0.032  A 11489
   1978.55777 12.047 12.020 12.088 12.105 12.121    0.045 0.049 0.038 0.043 0.038  B 12022
   1980.58244 11.802 11.815 11.792 11.780 11.776    0.041 0.048 0.036 0.042 0.038  A 12351
   1982.53695 12.284 12.265 12.281 12.305 12.281    0.037 0.042 0.032 0.038 0.034  A 12704
   1985.51378 12.233 12.264 12.214 12.242 12.219    0.044 0.052 0.038 0.045 0.043  A 13106
   1996.51747 12.237 12.240 12.207 12.266 12.305    0.050 0.060 0.042 0.050 0.050  B 13792
   1998.52158 12.293 12.241 12.326 12.367 12.362    0.052 0.061 0.045 0.048 0.049  B 14196
   2011.48408 11.637 11.645 11.643 11.624 11.669    0.056 0.065 0.046 0.051 0.052  D 15514
   2026.50317 12.151 12.137 12.156 12.178 12.196    0.034 0.037 0.031 0.032 0.033  A 17350
   2031.49106 11.857 11.872 11.851 11.850 11.866    0.031 0.039 0.029 0.030 0.034  A 17960
   2033.51647 11.459 11.454 11.468 11.475 11.509    0.032 0.055 0.028 0.030 0.037  A 18404
   2143.88560 12.220 12.270 12.215 12.196 12.150    0.034 0.061 0.031 0.034 0.040  A 30908
   2443.44891 11.744 11.733 11.712 11.732 11.755    0.037 0.046 0.029 0.030 0.033  A 8592
   2553.81424 11.888 11.997 11.854 11.855 11.878    0.057 0.064 0.050 0.050 0.051  D 21400
   2556.83394 11.394 11.421 11.398 11.395 11.421    0.050 0.061 0.041 0.045 0.046  B 21776
   2560.79500 12.064 12.070 12.052 12.049 12.045    0.037 0.048 0.029 0.030 0.033  A 22474
   2621.75501 11.515 11.566 11.521 11.517 11.532    0.035 0.034 0.032 0.034 0.036  A 29851
   2623.70948 12.289 12.283 12.245 12.258 12.239    0.034 0.033 0.028 0.032 0.033  A 30163
   2625.69731 12.168 12.185 12.191 12.204 12.283    0.037 0.035 0.034 0.037 0.039  A 30440
   2628.68287 12.205 12.141 12.247 12.214 12.140    0.047 0.044 0.044 0.049 0.051  B 30741
   2631.80892 12.270 12.273 12.240 12.236 12.264    0.035 0.040 0.038 0.039 0.046  A 31653
   2635.66487 11.594 11.550 11.601 11.597 11.597    0.032 0.034 0.029 0.031 0.034  A 32239
   2637.67800 12.264 12.337 12.265 12.260 12.290    0.031 0.034 0.028 0.028 0.030  A 32536
   2639.67805 12.097 12.123 12.100 12.110 12.146    0.033 0.037 0.030 0.035 0.035  A 32844
   2641.68757 11.723 11.711 11.726 11.737 11.755    0.035 0.034 0.030 0.034 0.035  A 33131
   2643.69257 12.297 12.297 12.285 12.288 12.318    0.026 0.034 0.023 0.025 0.030  A 33444
   2645.68128 12.131 12.162 12.105 12.122 12.152    0.035 0.034 0.031 0.034 0.035  A 33737
   2647.66640 11.881 11.947 11.897 11.886 11.902    0.053 0.051 0.054 0.061 0.070  D 34027
   2650.63603 11.923 11.915 11.920 11.919 11.972    0.035 0.033 0.030 0.032 0.033  A 34280
   2652.66060 11.538 11.474 11.518 11.498 11.471    0.036 0.034 0.029 0.033 0.035  A 34596
   2654.65275 12.388 12.266 12.410 12.416 12.434    0.039 0.040 0.039 0.034 0.034  A 34902
   2657.68611 12.347 12.306 12.341 12.344 12.344    0.037 0.037 0.036 0.038 0.039  A 35447
   2659.69790 12.103 12.131 12.102 12.090 12.090    0.033 0.036 0.032 0.033 0.037  A 35794
   2663.69156 11.440 11.433 11.455 11.456 11.454    0.040 0.036 0.037 0.036 0.036  A 36472
   2667.68393 12.067 12.121 12.058 12.045 12.052    0.036 0.039 0.035 0.034 0.035  A 37124
   2669.67337 11.624 11.590 11.611 11.589 11.576    0.036 0.036 0.034 0.035 0.037  A 37446
   2671.67251 12.218 12.242 12.210 12.207 12.243    0.032 0.038 0.031 0.032 0.034  A 37775
   2673.66706 12.194 12.165 12.166 12.135 12.147    0.033 0.035 0.033 0.033 0.035  A 38110
   2675.65485 11.785 11.843 11.790 11.811 11.818    0.033 0.036 0.032 0.032 0.033  A 38464
   2677.63666 11.902 11.904 11.877 11.865 11.858    0.030 0.034 0.029 0.032 0.035  A 38803
   2678.80775 12.170 12.145 12.137 12.111 12.103    0.031 0.033 0.026 0.027 0.031  A 39048
   2680.64860 11.468 11.451 11.463 11.464 11.471    0.027 0.034 0.024 0.025 0.029  A 39310
   2683.68859 11.589 11.605 11.605 11.601 11.615    0.028 0.034 0.025 0.027 0.030  A 39837
   2685.64871 12.245 12.196 12.251 12.272 12.355    0.034 0.046 0.028 0.028 0.032  A 40182
   2686.79027 12.044 12.091 12.002 11.969 11.958    0.031 0.046 0.030 0.033 0.038  A 40425
   2688.68705 11.872 11.898 11.884 11.898 11.948    0.027 0.034 0.026 0.029 0.033  A 40746
   2690.68137 12.187 12.236 12.171 12.132 12.152    0.031 0.039 0.027 0.028 0.033  A 41112
   2691.78629 11.580 11.584 11.582 11.612 11.595    0.035 0.042 0.035 0.038 0.043  A 41345
   2694.52567 12.238 12.259 12.220 12.202 12.229    0.038 0.042 0.034 0.039 0.040  A 41721
   2696.55440 99.999 99.999 99.999 99.999 99.999    0.037 0.041 0.034 0.038 0.040  C 42065
   2698.54869 11.917 11.895 11.910 11.931 11.929    0.038 0.044 0.036 0.041 0.042  A 42471
   2700.55352 11.504 11.443 11.506 11.495 11.482    0.039 0.042 0.038 0.045 0.047  A 42860
   2702.54537 12.260 12.243 12.248 12.251 12.252    0.039 0.040 0.032 0.039 0.042  A 43238
   2706.52551 11.604 11.620 11.639 11.651 11.663    0.037 0.045 0.035 0.039 0.039  A 43983
   2709.70206 12.042 12.001 12.046 12.057 12.095    0.035 0.038 0.037 0.036 0.038  A 44600
   2711.62534 11.442 11.453 11.460 11.459 11.491    0.029 0.041 0.026 0.027 0.032  A 44940
   2713.62591 12.221 12.245 12.199 12.191 12.190    0.028 0.032 0.025 0.028 0.032  A 45314
   2715.63803 12.169 12.177 12.160 12.144 12.116    0.030 0.036 0.027 0.031 0.037  A 45694
   2719.54705 12.260 12.263 12.228 12.227 12.274    0.028 0.032 0.024 0.026 0.029  A 46060
   2720.68942 11.904 11.871 11.895 11.881 11.900    0.029 0.042 0.028 0.032 0.038  A 46316
   2722.61496 11.699 11.645 11.686 11.703 11.706    0.027 0.040 0.025 0.026 0.031  A 46672
   2724.61297 12.263 12.283 12.245 12.229 12.253    0.026 0.034 0.023 0.025 0.028  A 47053
   2726.61139 12.038 12.033 12.051 12.045 12.067    0.028 0.035 0.025 0.028 0.032  A 47452
   2728.60271 11.526 11.540 99.999 99.999 99.999    0.028 0.045 0.026 0.028 0.032  C 47843
   2730.59873 12.265 12.244 12.260 12.253 12.266    0.028 0.039 0.026 0.028 0.032  A 48250
   2733.64522 12.002 11.967 11.984 11.981 12.005    0.027 0.035 0.025 0.027 0.032  A 48624
   2735.64101 12.220 12.221 12.215 12.227 12.264    0.026 0.031 0.025 0.027 0.031  A 49028
   2737.62823 11.915 11.876 11.898 11.887 11.884    0.028 0.041 0.025 0.028 0.034  A 49419
   2739.62083 11.460 11.445 11.463 11.463 11.464    0.028 0.036 0.027 0.030 0.035  A 49751
   2741.58830 12.284 12.282 12.268 12.237 12.228    0.028 0.039 0.025 0.028 0.033  A 50131
   2743.59593 12.065 12.066 12.092 12.092 12.093    0.029 0.042 0.027 0.031 0.035  A 50536
   2745.60863 11.729 11.660 11.746 11.777 11.835    0.032 0.037 0.032 0.038 0.044  A 50918
   2750.57344 12.195 12.193 12.202 12.194 12.198    0.031 0.041 0.027 0.028 0.031  A 51607
   2752.54983 12.151 12.116 12.147 12.154 12.182    0.031 0.040 0.029 0.027 0.030  A 51987
   2755.54551 12.280 12.249 12.277 12.283 12.312    0.029 0.035 0.027 0.027 0.030  A 52420
   2757.54241 12.012 11.992 11.988 11.966 11.974    0.028 0.032 0.024 0.026 0.030  A 52835
   2759.56985 11.633 11.573 11.650 11.677 11.731    0.037 0.044 0.039 0.046 0.055  B 53190
   2761.54572 12.266 12.234 12.265 12.260 12.262    0.028 0.034 0.024 0.026 0.031  A 53591
   2763.54221 12.113 12.159 12.106 12.113 12.130    0.028 0.040 0.026 0.028 0.031  A 53985
   2766.53222 12.138 12.154 12.118 12.095 12.068    0.028 0.041 0.026 0.029 0.033  A 54480
   2770.54736 11.531 11.539 11.530 11.538 11.541    0.027 0.034 0.025 0.029 0.032  A 54818
   2776.48895 11.461 11.430 11.444 11.422 11.414    0.026 0.037 0.025 0.028 0.032  A 55245
   2783.49841 12.200 12.222 12.195 12.185 12.189    0.029 0.037 0.025 0.027 0.031  A 55876
   2785.50248 11.863 11.856 11.883 11.887 11.920    0.028 0.033 0.025 0.026 0.031  A 56299
   2787.50234 11.514 11.535 11.503 11.505 11.489    0.028 0.034 0.026 0.028 0.031  A 56737
   2791.48576 11.983 12.007 11.942 11.898 11.925    0.036 0.042 0.035 0.038 0.042  A 57487
   2794.47533 12.082 12.066 12.057 12.035 12.003    0.029 0.039 0.026 0.029 0.034  A 57998
   2797.47511 12.097 12.138 12.078 12.058 12.024    0.034 0.039 0.034 0.040 0.046  A 58556
   2811.45530 12.151 12.162 12.108 12.097 12.103    0.028 0.034 0.025 0.027 0.031  A 59879
   2876.89030 11.885 11.853 11.869 11.843 11.862    0.031 0.036 0.028 0.030 0.033  A 68862
   2884.86208 11.488 11.525 11.506 11.521 11.522    0.031 0.034 0.028 0.029 0.032  A 69913
   2893.84247 11.754 11.827 11.685 11.640 11.613    0.035 0.039 0.032 0.034 0.038  A 70963
   2902.87560 12.172 12.119 12.157 12.153 12.146    0.050 0.051 0.049 0.056 0.065  D 72614
   2906.82809 12.270 12.221 12.268 12.283 12.298    0.033 0.036 0.030 0.031 0.032  A 73254
   2910.83552 11.913 11.967 11.880 11.846 11.834    0.032 0.032 0.030 0.032 0.033  A 73809
   2912.84791 11.495 11.497 11.503 11.504 11.488    0.032 0.034 0.030 0.032 0.034  A 74189
   2916.78895 12.000 11.978 12.005 12.009 11.976    0.034 0.035 0.030 0.033 0.034  A 74643
   2918.86584 11.750 11.731 11.750 11.773 11.829    0.042 0.041 0.047 0.060 0.074  D 74984
   2922.77343 12.099 12.100 12.072 12.119 12.180    0.034 0.039 0.035 0.039 0.044  A 75328
   2924.83265 11.835 11.868 11.880 11.907 11.901    0.033 0.035 0.031 0.034 0.038  A 75711
   2927.78670 11.901 11.911 11.903 11.900 11.927    0.028 0.036 0.024 0.027 0.030  A 76068
   2929.80373 11.501 11.514 11.479 11.446 11.507    0.035 0.038 0.033 0.038 0.045  A 76432
   2932.81940 11.697 11.641 11.686 11.686 11.675    0.030 0.034 0.029 0.032 0.036  A 76973
   2935.79061 11.664 11.682 11.657 11.654 11.639    0.030 0.035 0.029 0.033 0.037  A 77501
   2939.86386 12.302 12.305 12.295 12.305 12.369    0.038 0.037 0.035 0.038 0.041  A 77913
   2943.80784 11.480 11.498 11.476 11.483 11.494    0.026 0.033 0.024 0.026 0.030  A 78437
   2946.74917 11.479 11.476 11.491 11.508 11.518    0.034 0.036 0.033 0.034 0.036  A 78876
   2948.81944 12.260 12.281 12.249 12.255 12.298    0.035 0.040 0.036 0.040 0.042  A 79188
   2951.80725 12.209 12.187 12.221 12.250 12.289    0.033 0.036 0.029 0.035 0.043  A 79632
   2954.78286 11.768 11.726 11.763 11.780 11.785    0.037 0.040 0.034 0.037 0.041  A 80000
   2957.76376 11.505 11.524 11.549 11.560 11.613    0.034 0.039 0.030 0.032 0.036  A 80427
   2960.76947 11.502 11.470 11.519 11.539 11.557    0.040 0.045 0.039 0.047 0.059  D 80832
   2963.76496 11.672 11.668 11.693 11.706 11.733    0.059 0.083 0.051 0.051 0.051  D 81250
   2965.81884 12.011 11.924 11.980 11.983 12.004    0.037 0.039 0.038 0.044 0.047  A 81558
   2968.75009 12.189 12.210 12.203 12.211 12.225    0.031 0.036 0.030 0.035 0.045  A 81951
   2971.73795 11.764 11.797 11.785 11.783 11.809    0.029 0.031 0.025 0.026 0.029  A 82286
   2974.73819 11.476 11.516 11.478 11.475 11.458    0.033 0.042 0.031 0.033 0.036  A 82614
   2976.74442 12.238 12.268 12.188 12.169 12.184    0.037 0.042 0.036 0.042 0.054  B 82896
   2978.75061 12.075 12.068 12.057 12.059 12.083    0.030 0.037 0.026 0.028 0.029  A 83173
   2982.76294 12.116 12.114 12.107 12.116 12.069    0.030 0.034 0.029 0.035 0.042  A 83698
   2985.70179 12.240 12.178 12.156 12.036 11.949    0.032 0.032 0.034 0.039 0.042  A 84062
   2987.75578 12.258 12.245 12.225 12.207 12.198    0.028 0.036 0.025 0.028 0.031  A 84351
   2989.78900 12.062 12.067 12.069 12.062 12.081    0.027 0.032 0.024 0.027 0.030  A 84581
   2992.68292 11.853 11.884 11.818 11.812 11.839    0.036 0.040 0.039 0.041 0.045  A 84937
   2994.74807 11.664 11.684 11.665 11.669 11.672    0.053 0.059 0.043 0.040 0.038  B 85226
   2996.73939 12.278 12.314 12.281 12.260 12.285    0.028 0.034 0.023 0.026 0.029  A 85485
   2998.74671 12.365 12.391 12.306 12.316 12.304    0.031 0.034 0.027 0.032 0.040  A 85763
   3001.72832 12.213 12.194 12.185 12.148 12.117    0.040 0.037 0.041 0.043 0.044  B 86023
   3007.72048 12.445 12.455 12.404 12.377 99.999    0.032 0.036 0.030 0.035 0.044  C 86755
   3011.77679 11.822 11.880 11.803 11.821 11.853    0.029 0.038 0.028 0.030 0.033  A 87301
   3019.66918 11.643 11.624 11.637 11.644 11.604    0.031 0.037 0.028 0.032 0.034  A 88153
   3023.67551 12.011 12.051 11.964 11.923 11.906    0.039 0.044 0.034 0.035 0.037  A 88311
   3028.65503 11.681 11.664 11.679 11.694 11.722    0.028 0.032 0.023 0.026 0.031  A 88565
   3030.69837 11.915 11.851 11.915 11.921 11.927    0.027 0.032 0.024 0.026 0.030  A 88751
   3032.72040 12.295 12.232 12.310 12.321 12.404    0.041 0.039 0.036 0.039 0.040  A 88934
   3034.74390 12.006 12.013 12.000 12.019 12.070    0.044 0.050 0.045 0.048 0.051  B 89170
   3036.82047 11.855 11.797 11.875 11.903 11.919    0.032 0.042 0.028 0.031 0.036  A 89423
   3040.82539 12.235 12.228 12.248 12.277 12.256    0.031 0.036 0.030 0.033 0.037  A 89618
   3043.67852 12.168 12.164 12.163 12.182 12.150    0.029 0.036 0.027 0.032 0.038  A 89942
   3045.72419 11.941 11.934 11.927 11.916 11.914    0.029 0.037 0.027 0.029 0.032  A 90225
   3048.68976 11.946 11.958 11.926 11.899 11.906    0.029 0.038 0.028 0.032 0.036  A 90616
   3051.63089 11.982 12.004 12.006 12.025 12.029    0.029 0.037 0.025 0.028 0.031  A 90992
   3053.68542 11.559 11.600 11.566 11.558 11.534    0.028 0.037 0.025 0.028 0.032  A 91284
   3055.74905 11.996 12.006 11.986 11.973 11.923    0.034 0.042 0.030 0.035 0.040  A 91583
   3058.57779 12.313 12.350 12.291 12.270 12.298    0.030 0.033 0.026 0.030 0.033  A 91930
   3060.64277 12.212 12.224 12.174 12.178 12.173    0.027 0.032 0.025 0.027 0.030  A 92211
   3064.70782 11.633 11.607 11.635 11.650 11.706    0.040 0.041 0.044 0.054 0.067  D 92774
   3067.69401 11.645 11.665 11.635 11.646 11.671    0.028 0.032 0.026 0.029 0.033  A 93066
   3069.70749 12.399 12.362 12.455 12.517 12.608    0.033 0.039 0.033 0.039 0.047  A 93364
   3071.72612 12.187 12.230 12.255 12.339 12.353    0.031 0.037 0.029 0.035 0.042  A 93658
   3074.63207 12.253 12.253 12.241 12.262 12.301    0.029 0.035 0.026 0.029 0.033  A 93986
   3076.65899 11.834 11.850 11.826 11.847 11.906    0.027 0.031 0.026 0.028 0.033  A 94275
   3078.66097 11.536 11.584 11.528 11.513 11.519    0.029 0.035 0.027 0.030 0.035  A 94578
   3080.67476 12.187 12.139 12.179 12.180 12.165    0.063 0.065 0.065 0.069 0.075  D 94871
   3082.70873 12.161 12.210 12.070 11.993 11.943    0.040 0.043 0.042 0.047 0.055  B 95177
   3086.70078 12.032 12.048 12.031 12.048 12.084    0.028 0.033 0.026 0.031 0.036  A 95476
   3089.53634 12.285 12.310 12.247 12.218 12.252    0.032 0.035 0.028 0.032 0.037  A 95878
   3091.54343 12.169 12.185 12.157 12.148 12.148    0.029 0.034 0.029 0.034 0.039  A 96194
   3097.57052 12.277 12.249 12.270 12.261 12.252    0.028 0.033 0.027 0.029 0.032  A 96786
   3099.59309 11.937 11.979 11.956 11.982 11.970    0.031 0.036 0.029 0.031 0.036  A 97110
   3101.59873 11.525 11.562 11.504 11.491 11.502    0.030 0.034 0.028 0.031 0.037  A 97416
   3103.60551 12.249 12.233 12.233 12.212 12.213    0.030 0.034 0.026 0.028 0.032  A 97734
   3105.60277 12.117 12.181 12.092 12.062 12.058    0.031 0.038 0.030 0.035 0.042  A 98051
   3107.60309 11.839 11.807 11.815 11.835 11.831    0.029 0.034 0.024 0.028 0.032  A 98368
   3109.60825 11.425 11.500 11.413 11.390 11.391    0.037 0.040 0.027 0.029 0.032  A 98680
   3111.60609 12.213 12.261 12.199 12.183 12.219    0.028 0.032 0.025 0.028 0.032  A 98992
   3113.62632 12.096 12.101 12.122 12.145 12.169    0.029 0.036 0.025 0.028 0.033  A 99320
   3121.58774 11.790 11.803 11.807 11.817 11.827    0.027 0.032 0.025 0.028 0.031  A 100070
   3123.59565 11.562 11.523 11.554 11.516 11.509    0.046 0.049 0.045 0.048 0.052  B 100363
   3126.53160 11.744 11.773 11.751 11.772 11.802    0.028 0.035 0.026 0.029 0.033  A 100843
   3128.56191 12.241 12.259 12.237 12.238 12.253    0.031 0.034 0.028 0.032 0.037  A 101170
   3130.57283 12.138 12.103 12.092 12.068 12.124    0.029 0.035 0.030 0.034 0.039  A 101465
   3132.57971 11.677 11.651 11.701 11.737 11.765    0.028 0.036 0.027 0.030 0.035  A 101799
   3144.54922 12.082 12.088 12.045 12.010 12.018    0.027 0.033 0.025 0.029 0.034  A 103243
   3154.48670 12.259 12.257 12.262 12.248 12.254    0.028 0.037 0.026 0.029 0.032  A 103887
   3158.48218 11.867 11.889 11.850 11.859 11.858    0.035 0.037 0.034 0.038 0.044  A 104350
   3162.47866 12.236 12.257 12.226 12.227 12.240    0.028 0.036 0.024 0.027 0.032  A 104790
   3165.47342 12.402 12.402 12.417 12.462 12.614    0.029 0.034 0.027 0.031 0.036  A 105312
   3169.45935 11.788 11.788 11.775 11.760 11.745    0.027 0.034 0.025 0.028 0.032  A 105867
   3175.46504 11.933 11.916 11.927 11.964 11.959    0.028 0.032 0.024 0.027 0.031  A 106529
   3373.79949 12.028 12.029 12.026 12.024 12.037    0.051 0.058 0.052 0.057 0.063  D 125384
   3382.68433 12.127 12.157 12.102 12.102 12.089    0.042 0.059 0.041 0.046 0.050  B 125644
#ndata= 477
#dataset= 2 ; 1 F0624-56_068
#desig= 065307-5935.7
#cra=    6.885405  06:53:07.5
#cdec= -59.595626 -59:35:44.3
#class= 0
#cmag_0= 11.982
#cmer_0=  0.290
#nskip_0= 0
#cmag_1= 12.018
#cmer_1=  0.260
#nskip_1= 0
#cmag_2= 12.042
#cmer_2=  0.259
#nskip_2= 2
#cmag_3= 12.056
#cmer_3=  0.264
#nskip_3= 2
#cmag_4= 12.083
#cmer_4=  0.268
#nskip_4= 3
#ra=    6.885376  06:53:07.4
#dec= -59.595571 -59:35:44.1
#     HJD      MAG_0  MAG_1  MAG_2  MAG_3  MAG_4    MER_0 MER_1 MER_2 MER_3 MER_4 GRADE FRAME
